electrode,stage,n_patients,median_uv,mean_uv,sd_uv
C3,N3,10693,0.0431928773997853,0.08323449124619019,0.4973185394209951
C3,R,11148,0.07402751621386333,0.1620653327435088,1.026122833929087
C3,light_sleep,11757,0.06837958077922067,0.13882924274855693,0.953665199237724
C4,N3,10532,0.042311910019246474,0.07560391161443245,0.646739727265177
C4,R,10959,0.08304909177597404,0.16081413636911196,0.761579639711724
C4,light_sleep,11559,0.06786044963773803,0.13133015360278275,0.7833704830237324
Cz,N3,2402,-0.01177341665067936,0.0029810362761539446,0.6855653761680555
Cz,R,2313,0.013186139397023303,0.06625572697293108,0.8995493228150866
Cz,light_sleep,2471,0.005027857585777505,0.013758363322802844,1.1467918861268604
F3,N3,10685,0.01675089076184357,0.04081472590275881,0.7160222484250961
F3,R,11141,0.03390244170397888,0.061196873738495916,0.6904436755489477
F3,light_sleep,11744,0.03273952166904459,0.05977072317723892,0.7547644954573498
F4,N3,10492,0.07392299032834326,0.11506416968595373,0.5524236788188985
F4,R,10923,0.140986579092168,0.2208978287874734,0.7525819247274226
F4,light_sleep,11531,0.10238122211148219,0.17724267509234154,0.7929894241442649
F7,N3,2741,0.0024331977178424606,0.024865577596969005,0.7649063661476172
F7,R,2677,0.020518166469219033,0.009655812506586392,0.8087696523753517
F7,light_sleep,2850,0.0124446499982753,0.03517584257319753,0.9368159962653366
F8,N3,2747,0.034516829847117826,0.06356384130086648,0.5238688849460895
F8,R,2677,0.07398676423570302,0.10312628009292277,0.8316460372510214
F8,light_sleep,2859,0.04794492990551857,0.08822641275885136,1.1416436519928925
Fp1,N3,2401,0.007650094774449139,0.029037571436216693,0.755777798266769
Fp1,R,2314,0.02648495811699335,0.021055651915952107,0.9305627618318646
Fp1,light_sleep,2469,0.017286612460768853,0.03220129970924232,0.887000929406065
Fp2,N3,2399,0.014172396215540926,0.03803676302610914,0.6522785015689996
Fp2,R,2313,0.035560008895536885,0.05926627147503594,0.9732485652576778
Fp2,light_sleep,2471,0.015926992590486428,0.030495027612054044,1.0994847060510382
Fz,N3,2392,-0.007642539626506081,-0.002159145022652839,0.7572590977455862
Fz,R,2308,0.009725789382243102,0.035861923308780845,0.8381891402753672
Fz,light_sleep,2462,-0.0008544287265117397,0.0156961061209611,0.9985601465564503
O1,N3,10636,0.06751018477409794,0.07581110873895386,0.5406738402588831
O1,R,11071,0.12676201312387134,0.1861664280456404,0.8796436751317883
O1,light_sleep,11687,0.08643776180964927,0.12641092001198137,0.7342873114973225
O2,N3,10480,0.006795437861922216,0.016452173041193927,0.6173479837750484
O2,R,10901,0.022928653221895925,0.04293655741851958,0.7295227172566993
O2,light_sleep,11508,0.02095761699644981,0.03934914454746385,0.7409644251893249
Oz,N3,140,-0.10914130146691947,-0.14983137597371937,2.2849413114025445
Oz,R,103,-0.01567765669756499,0.18843509919434923,1.610472750975805
Oz,light_sleep,136,0.044931068898854246,-0.07005137331839412,1.2375375862401259
P3,N3,2396,0.010421534090702771,0.030723940598220034,0.5541954696284302
P3,R,2311,0.03704260370919087,0.06199547761766486,0.8049648700852626
P3,light_sleep,2467,0.019386962792042287,0.01361958777288145,1.2176529461304735
P4,N3,2396,0.005743807426089322,0.029748802541323876,0.7022827286039403
P4,R,2313,0.025584890494091763,0.007200859331408706,0.7777093938006847
P4,light_sleep,2463,0.018195431441264204,0.023014890455605248,0.9474100093758421
P7,N3,14,0.08530665182555162,0.20505341269822883,0.8795743757468233
P7,R,11,0.2646232232724136,0.7075326843395778,0.9543972361208067
P7,light_sleep,11,0.18810487736326975,0.4556762466740789,0.8535359575259456
P8,N3,14,-0.007027809163484,-0.03761682831798764,0.4073699333538454
P8,R,11,0.17494960452764052,0.08279999302937453,1.0650758626490628
P8,light_sleep,11,-0.14166342212829958,-0.35620237733711396,0.8397240076194913
Pz,N3,2387,0.007893077231747926,0.040161481304847445,0.7204268782144835
Pz,R,2303,0.0319448644682762,0.04693633959789234,0.8091636261705037
Pz,light_sleep,2455,0.017497938599291343,0.052601685773286465,0.9744482127768901
T3,N3,2745,0.004437835905614829,0.013933546724130587,0.6332448725517269
T3,R,2686,0.030433369316468936,0.06130559559355284,0.8531381160198016
T3,light_sleep,2860,0.014436253460995505,0.049630691594576774,1.217376446791953
T4,N3,2745,0.06387836777223002,0.09624219388021421,0.6046108062893543
T4,R,2678,0.12449613864722639,0.18924301015298706,1.0878413844213015
T4,light_sleep,2856,0.10529718436096856,0.14626704977690524,1.1621645236379214
T5,N3,2732,0.006937896801632943,0.019268420411704432,0.5125492999470893
T5,R,2669,0.039183401390129574,0.09835615886541595,1.0509923232349603
T5,light_sleep,2845,0.01918108092133847,0.06738264986571449,0.8420049958805411
T6,N3,2680,0.013054320902955649,0.03308143386503577,0.6387099488874682
T6,R,2595,0.027169672509685872,0.05876800993956427,1.1250617038277047
T6,light_sleep,2775,0.03369721657800545,0.0774461571665601,0.9532811706561742
T7,N3,14,0.4482481985557079,0.8762691814973593,1.9975296447824265
T7,R,11,-0.2536571060769077,-1.3954219832803236,3.3042890829501017
T7,light_sleep,11,0.1524514751181026,-0.44356506537117574,1.7448073947308096
T8,N3,13,0.13896584238922777,-0.25193921985421014,1.5991269232832859
T8,R,11,0.10966497633479885,-0.5980083797803482,2.2746749268777773
T8,light_sleep,11,-0.07814128155665942,-0.32754998312535005,0.6652943123835576
